Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
103	Vgll4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030315	ENSMUST00000032459|ENSMUST00000147639|ENSMUST00000152710|ENSMUST00000204693|ENSMUST00000123478|ENSMUST00000155620|ENSMUST00000139640	NM_001356371|NM_177683	VGLL4		DOWN, ttest: 6.886787409178522e-05
104	P2ry13	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036362	ENSMUST00000040622	NM_028808	P2RY13		DOWN, ttest: 7.1045798995329e-05
105	Cd83	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015396	ENSMUST00000221359|ENSMUST00000015540	NM_009856|NM_001289915	CD83		DOWN, ttest: 7.67745830595146e-05
106	1700084C01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000070532	ENSMUST00000094348|ENSMUST00000175731	NM_001347138|NM_001033185	CCDC190		DOWN, ttest: 7.68461143213892e-05
107	Lmo2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032698	ENSMUST00000111139|ENSMUST00000111140|ENSMUST00000133210|ENSMUST00000138815|ENSMUST00000111143|ENSMUST00000170926|ENSMUST00000156813|ENSMUST00000123437	NM_001142336|NM_001142337|NM_001142335|NM_008505	LMO2		DOWN, ttest: 7.70166991969687e-05
108	Pik3r3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028698	ENSMUST00000147292|ENSMUST00000030464|ENSMUST00000106490	NM_001355586|NM_181585|NM_001355584|NM_001355585	PIK3R3		DOWN, ttest: 7.85596825325618e-05
109	Centd3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024451	ENSMUST00000237188|ENSMUST00000237677|ENSMUST00000236772|ENSMUST00000237272|ENSMUST00000236534|ENSMUST00000236588|ENSMUST00000042944|ENSMUST00000236134|ENSMUST00000235391	NM_001205336|NM_139206	ARAP3		DOWN, ttest: 7.86465892907075e-05
110	Elovl6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000041220	ENSMUST00000199910|ENSMUST00000198369|ENSMUST00000197070|ENSMUST00000197235|ENSMUST00000071402	NM_130450	ELOVL6		DOWN, ttest: 8.56060306203267e-05
111	Ebi2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000051212	ENSMUST00000049872|ENSMUST00000227267	NM_183031	GPR183		DOWN, ttest: 8.678222064353102e-05
112	Csf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000014599	ENSMUST00000120243|ENSMUST00000156820|ENSMUST00000120654|ENSMUST00000153114|ENSMUST00000118593|ENSMUST00000014743|ENSMUST00000155557	NM_001113529|NM_001113530|NM_007778	CSF1		DOWN, ttest: 9.126560155868182e-05
113	A830073O21Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000091890	ENSMUST00000169090|ENSMUST00000205693				DOWN, ttest: 9.17409379942585e-05
114	Osm	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000058755	ENSMUST00000131764|ENSMUST00000075221	NM_001013365	OSM		DOWN, ttest: 9.1784407335212e-05
115	Fhod1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000014778	ENSMUST00000132777|ENSMUST00000136439|ENSMUST00000014922|ENSMUST00000134837	NM_177699	FHOD1		DOWN, ttest: 9.276114391892722e-05
116	Tnf	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024401	ENSMUST00000167924|ENSMUST00000025263	NM_013693|NM_001278601	TNF		DOWN, ttest: 9.87367053456981e-05
117	1700038P13Rik	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 9.93703487747219e-05
118	Ets2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022895	ENSMUST00000233499|ENSMUST00000233550|ENSMUST00000233908|ENSMUST00000023612|ENSMUST00000232792|ENSMUST00000233578	NM_011809	ETS2		DOWN, ttest: 0.000100126812445928
119	Plk3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028680	ENSMUST00000147730|ENSMUST00000076859|ENSMUST00000126135	NM_013807|NM_001313916	PLK3		DOWN, ttest: 0.000100573671886447
120	Arl4c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049866	ENSMUST00000159814|ENSMUST00000051236|ENSMUST00000187810	NM_177305	ARL4C		DOWN, ttest: 0.000101835820660532
121	Klhl25	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000055652	ENSMUST00000206019|ENSMUST00000205612|ENSMUST00000205887|ENSMUST00000171155|ENSMUST00000206418|ENSMUST00000092073	NM_182782|NM_029652|NM_001122780	KLHL25		DOWN, ttest: 0.000108884273104193
122	2810003C17Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000001864	ENSMUST00000001920|ENSMUST00000148056|ENSMUST00000128271|ENSMUST00000138833|ENSMUST00000156743|ENSMUST00000151276|ENSMUST00000145137|ENSMUST00000140649|ENSMUST00000125457|ENSMUST00000156564	NM_145144	AIF1L		DOWN, ttest: 0.000109178425129328
123	Cd180	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021624	ENSMUST00000170878|ENSMUST00000022124|ENSMUST00000171267|ENSMUST00000167144|ENSMUST00000172138	NM_008533|NM_001360519	CD180		DOWN, ttest: 0.000111707866595149
124	Nme4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024177	ENSMUST00000235157|ENSMUST00000025007|ENSMUST00000236547|ENSMUST00000150280|ENSMUST00000236112|ENSMUST00000236967|ENSMUST00000236128	NM_019731	NME4		DOWN, ttest: 0.000115029658337119
125	Ptx3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027832	ENSMUST00000029421|ENSMUST00000182521	NM_008987	PTX3		DOWN, ttest: 0.000123801438545836
126	Lbh	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024063	ENSMUST00000024857|ENSMUST00000148556	NM_029999	LBH		DOWN, ttest: 0.000124199869486631
127	Bin1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024381	ENSMUST00000025239|ENSMUST00000234024|ENSMUST00000234373|ENSMUST00000091967|ENSMUST00000234496|ENSMUST00000234857	NM_001083334|NM_001360876|NM_009668	BIN1		DOWN, ttest: 0.000124963909520926
128	Prr7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000034686	ENSMUST00000046533	NM_001030296	PRR7		DOWN, ttest: 0.00012615608757275
129	BB146404	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000141697724813479
130	Clecsf12	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000079293	ENSMUST00000184861|ENSMUST00000195589|ENSMUST00000184581	NM_001309637	CLEC7A		DOWN, ttest: 0.000143268634822784
131	Elk3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000008398	ENSMUST00000008542|ENSMUST00000129827|ENSMUST00000133365|ENSMUST00000151153	NM_001322268|NM_001282967|NM_013508|NM_001322265	ELK3		DOWN, ttest: 0.000143413879557451
132	Plau	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021822	ENSMUST00000022368|ENSMUST00000224141	NM_008873	PLAU		DOWN, ttest: 0.00014388793641919
133	Gvin1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045868	ENSMUST00000183409|ENSMUST00000006667	NM_029000|NM_001039160			DOWN, ttest: 0.000147516789213961
134	Dusp4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031530	ENSMUST00000033930	NM_176933	DUSP4		DOWN, ttest: 0.000152953423751889
135	LOC100048845	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000161580381010053
136	Kcna6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038077	ENSMUST00000185333|ENSMUST00000112242|ENSMUST00000128137|ENSMUST00000040751	NM_013568|NM_001410075|NM_001410072	KCNA6		DOWN, ttest: 0.000163156952704254
137	1200015N20Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000043259	ENSMUST00000105436|ENSMUST00000219514|ENSMUST00000173042|ENSMUST00000218542|ENSMUST00000220159|ENSMUST00000062883|ENSMUST00000220442	NM_001143777|NM_001143776|NM_024244|NM_001359551	FAM13C		DOWN, ttest: 0.000165869729555362
138	Plekho2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000050721	ENSMUST00000214740|ENSMUST00000213652|ENSMUST00000068944|ENSMUST00000213554	NM_153119	PLEKHO2		DOWN, ttest: 0.00017171148188577
139	Camk4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038128	ENSMUST00000234654|ENSMUST00000234205|ENSMUST00000234001|ENSMUST00000042868	NM_009793	CAMK4		DOWN, ttest: 0.000173625395470008
140	Pla2g15	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031903	ENSMUST00000212963|ENSMUST00000034377|ENSMUST00000212116|ENSMUST00000212059	NM_133792|NM_001357319	PLA2G15		DOWN, ttest: 0.000177805610883693
141	Ctnnal1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038816	ENSMUST00000134915|ENSMUST00000132764|ENSMUST00000131231|ENSMUST00000045142|ENSMUST00000154511|ENSMUST00000136308|ENSMUST00000127908|ENSMUST00000134754|ENSMUST00000107612	NM_018761	CTNNAL1		DOWN, ttest: 0.000179981826602766
142	Micall2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036718	ENSMUST00000165645|ENSMUST00000164584|ENSMUST00000044642|ENSMUST00000170773	NM_174850	MICALL2		DOWN, ttest: 0.000181834733855903
143	LOC100047963	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000183712633041992
144	Cxcl16	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018920	ENSMUST00000154475|ENSMUST00000126391|ENSMUST00000019064	NM_023158	CXCL16		DOWN, ttest: 0.000185194632810983
145	Cd72	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028459	ENSMUST00000107925|ENSMUST00000030179|ENSMUST00000151868|ENSMUST00000134850|ENSMUST00000107926|ENSMUST00000133110|ENSMUST00000140284|ENSMUST00000141198|ENSMUST00000098105|ENSMUST00000098104	NM_001110321|NM_007654|NM_001110322|NM_001110320	CD72		DOWN, ttest: 0.000186005500586089
146	Fchsd2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030691	ENSMUST00000130426|ENSMUST00000208063|ENSMUST00000142727|ENSMUST00000151693|ENSMUST00000208439|ENSMUST00000137196|ENSMUST00000032931|ENSMUST00000145802|ENSMUST00000208638|ENSMUST00000098250|ENSMUST00000208917	NM_001146010|NM_199012	FCHSD2		DOWN, ttest: 0.000193758761755316
147	Disp1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030768	ENSMUST00000194033|ENSMUST00000171366|ENSMUST00000195372|ENSMUST00000192915|ENSMUST00000003035	NM_001278220|NM_001278219|NM_026866|NM_001278218	DISP1		DOWN, ttest: 0.000194882671132622
148	Cyth4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018008	ENSMUST00000230705|ENSMUST00000229295|ENSMUST00000229248|ENSMUST00000230041|ENSMUST00000043069|ENSMUST00000230583|ENSMUST00000231180|ENSMUST00000229717|ENSMUST00000229233|ENSMUST00000229256|ENSMUST00000231176|ENSMUST00000229796|ENSMUST00000231168	NM_028195	CYTH4		DOWN, ttest: 0.000199230369444068
149	Pdgfb	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000000489	ENSMUST00000229168|ENSMUST00000229795|ENSMUST00000000500|ENSMUST00000229912	NM_011057	PDGFB		DOWN, ttest: 0.000201706227517463
150	AI504432	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000056145	ENSMUST00000070085				DOWN, ttest: 0.00021229699078981
151	Fas	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024778	ENSMUST00000025691|ENSMUST00000236731|ENSMUST00000112472|ENSMUST00000235232|ENSMUST00000235709	NM_007987|NM_001146708	FAS		DOWN, ttest: 0.000214855495489521
152	1700084C01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000070532	ENSMUST00000094348|ENSMUST00000175731	NM_001347138|NM_001033185	CCDC190		DOWN, ttest: 0.000216305612551744
153	Lpl	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015568	ENSMUST00000101463|ENSMUST00000015712|ENSMUST00000213071|ENSMUST00000168401|ENSMUST00000169749	NM_008509	LPL		DOWN, ttest: 0.000220827611389389
154	Gas7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000033066	ENSMUST00000108680|ENSMUST00000108682|ENSMUST00000129801|ENSMUST00000147276|ENSMUST00000108681|ENSMUST00000136796|ENSMUST00000145496|ENSMUST00020183803|ENSMUST00000133367|ENSMUST00000140863|ENSMUST00000151784|ENSMUST00000041611	NM_008088|NM_001109657|NM_001277080|NM_001277079	GAS7		DOWN, ttest: 0.000220966118655192
155	Stap1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029254	ENSMUST00000031171|ENSMUST00000138076|ENSMUST00000132546|ENSMUST00000123393|ENSMUST00000151556|ENSMUST00000198435	NM_001310639|NM_019992	STAP1		DOWN, ttest: 0.000224300535106111
156	D8Ertd82e	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000050271	ENSMUST00000110492|ENSMUST00000145386|ENSMUST00000150295	NM_172911	PRAG1		DOWN, ttest: 0.000232489883520952
157	Tmem51	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040616	ENSMUST00000036572	NM_145402	TMEM51		DOWN, ttest: 0.000240648136209148
158	Cd33	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000004609	ENSMUST00000039861|ENSMUST00000205503|ENSMUST00000206977|ENSMUST00000205687|ENSMUST00000004728|ENSMUST00000206371	NM_021293|NM_001111058	CD33		DOWN, ttest: 0.000247445634468011
159	Atf3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026628	ENSMUST00000131854|ENSMUST00000027941|ENSMUST00000195117	NM_007498	ATF3		DOWN, ttest: 0.000249165895438253
160	Bbs10	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000035759	ENSMUST00000040454|ENSMUST00000219990	NM_027914	BBS10		DOWN, ttest: 0.000252126538780109
161	Arhgap25	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030047	ENSMUST00000113637|ENSMUST00000203559|ENSMUST00000071024|ENSMUST00000145128|ENSMUST00000101197	NM_175476|NM_001286610|NM_001037727	ARHGAP25		DOWN, ttest: 0.000253060859500256
162	Gm885	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040528	ENSMUST00000147326|ENSMUST00000182908|ENSMUST00000183111|ENSMUST00000106794|ENSMUST00000182479|ENSMUST00000182896|ENSMUST00000086353|ENSMUST00000182023	NM_001271372|NM_001033435|NM_001271373|NM_001271374|NM_001271375	MILR1		DOWN, ttest: 0.000256127406936737
163	Gna14	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024697	ENSMUST00000237350|ENSMUST00000025602	NM_008137	GNA14		DOWN, ttest: 0.000268950943866545
164	3110043J09Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000078954	ENSMUST00000172307|ENSMUST00000169075|ENSMUST00000006029|ENSMUST00000100464|ENSMUST00000163312|ENSMUST00000167499|ENSMUST00000168811	NM_001205334|NM_001164628|NM_001164627|NM_028455	ARHGAP8		DOWN, ttest: 0.000278631914549692
165	Sall2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049532	ENSMUST00000135523|ENSMUST00000058326	NM_001244916|NM_015772	SALL2		DOWN, ttest: 0.000282532492600302
166	Tnfaip3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000019850	ENSMUST00000146388|ENSMUST00000122863|ENSMUST00000154749|ENSMUST00000019997|ENSMUST00000154590|ENSMUST00000105527	NM_001166402|NM_009397	TNFAIP3		DOWN, ttest: 0.000285059946927224
167	Mfsd9	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000041945	ENSMUST00000144385|ENSMUST00000131390|ENSMUST00000039672	NM_172499	MFSD9		DOWN, ttest: 0.000292877229821705
168	Evi2a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000078771	ENSMUST00000154415|ENSMUST00000103236|ENSMUST00000133148|ENSMUST00000146611	NM_001033711|NM_010161	EVI2A		DOWN, ttest: 0.000299726677281879
169	Kcnk5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000023243	ENSMUST00000024011|ENSMUST00000225552	NM_021542	KCNK5		DOWN, ttest: 0.000300673723472554
170	Slc16a9	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037762	ENSMUST00000046807|ENSMUST00000155933	NM_025807	SLC16A9		DOWN, ttest: 0.000303872861964539
171	41456	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000306483706994861
172	Nrn1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000039114	ENSMUST00000224323|ENSMUST00000224960|ENSMUST00000122286|ENSMUST00000037623|ENSMUST00000223611	NM_153529|NM_001374754	NRN1		DOWN, ttest: 0.000315872862402936
173	Gadd45a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036390	ENSMUST00000128617|ENSMUST00000126194|ENSMUST00000043098|ENSMUST00000204369|ENSMUST00000155041|ENSMUST00000151958|ENSMUST00000204282	NM_007836	GADD45A		DOWN, ttest: 0.000316431001166155
174	Gpr23	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049929	ENSMUST00000060576	NM_175271	LPAR4		DOWN, ttest: 0.000316829083584419
175	Spata13	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021990	ENSMUST00000162939|ENSMUST00000162945|ENSMUST00000160095|ENSMUST00000160973|ENSMUST00000162131|ENSMUST00000159729|ENSMUST00000159135|ENSMUST00000022566|ENSMUST00000159169	NM_001310594|NM_001033272|NM_001404964	SPATA13		DOWN, ttest: 0.000325397660584219
176	Rarb	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000017491	ENSMUST00000225921|ENSMUST00000223576|ENSMUST00000223976|ENSMUST00000225594|ENSMUST00000225356|ENSMUST00000063750|ENSMUST00000225245	NM_001289760|NM_011243|NM_001289762|NM_001289761	RARB		DOWN, ttest: 0.000326123027401818
177	Gp49a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000112023	ENSMUST00000219262|ENSMUST00000218649|ENSMUST00000219661|ENSMUST00000219178|ENSMUST00000219717|ENSMUST00000219598|ENSMUST00000219053|ENSMUST00000218900|ENSMUST00000218179|ENSMUST00000219151|ENSMUST00000218704|ENSMUST00000102894|ENSMUST00000219960	NM_008147|NM_001291893|NM_001291892			DOWN, ttest: 0.000333201420611068
178	2810037O22Rik	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000338007954116651
179	Tspan14	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037824	ENSMUST00000224209|ENSMUST00000224349|ENSMUST00000047652	NM_145928|NM_001316748	TSPAN14		DOWN, ttest: 0.000338161202849367
180	Mboat1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038732	ENSMUST00000152798|ENSMUST00000220870|ENSMUST00000153269|ENSMUST00000222095|ENSMUST00000047311	NM_153546	MBOAT1		DOWN, ttest: 0.000339230222410707
181	BC004044	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000340997773583294
182	Cmtm7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032436	ENSMUST00000084867|ENSMUST00000035009|ENSMUST00000217056|ENSMUST00000214604|ENSMUST00000216760	NM_133978|NM_001252479	CMTM7		DOWN, ttest: 0.000345651033280531
183	Sytl2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030616	ENSMUST00000207578|ENSMUST00000107211|ENSMUST00000207872|ENSMUST00000207455|ENSMUST00000207064|ENSMUST00000190837|ENSMUST00000207431|ENSMUST00000239078|ENSMUST00000207629|ENSMUST00000208580|ENSMUST00000190365|ENSMUST00000209188|ENSMUST00000207928|ENSMUST00000107210|ENSMUST00000208486|ENSMUST00000208720|ENSMUST00000189194|ENSMUST00000190731|ENSMUST00000098310|ENSMUST00000208809	NM_001289584|NM_001289583|NM_001368878|NM_001040087|NM_031394|NM_001289586|NM_001040088|NM_001289585|NM_001040085	SYTL2		DOWN, ttest: 0.000349842528538892
184	Vps37b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000066278	ENSMUST00000040967|ENSMUST00000199741|ENSMUST00000199306	NM_177876	VPS37B		DOWN, ttest: 0.000358795793981875
185	Dbndd2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000017734	ENSMUST00000109350|ENSMUST00000017878|ENSMUST00000109349|ENSMUST00000149287|ENSMUST00000069385|ENSMUST00000143690	NM_001048227|NM_001048229|NM_001048228|NM_026797	DBNDD2		DOWN, ttest: 0.000369351119530723
186	Gab1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031714	ENSMUST00000210676|ENSMUST00000211018|ENSMUST00000034150	NM_001301298|NM_021356	GAB1		DOWN, ttest: 0.000380953697471785
187	Fgfrl1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000008090	ENSMUST00000112560|ENSMUST00000197255|ENSMUST00000196222|ENSMUST00000199802|ENSMUST00000013633	NM_054071|NM_001164259	FGFRL1		DOWN, ttest: 0.000381975810663541
188	LOC100046608	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000384864923357721
189	Relb	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000002983	ENSMUST00000148040|ENSMUST00000049912|ENSMUST00000094762|ENSMUST00000130543|ENSMUST00000153309|ENSMUST00000131759|ENSMUST00000141586|ENSMUST00000137615|ENSMUST00000098754|ENSMUST00000208087	NM_001290457|NM_009046	RELB		DOWN, ttest: 0.000394508648617617
190	Phldb1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000048537	ENSMUST00000128326|ENSMUST00000126818|ENSMUST00000148929|ENSMUST00000144251|ENSMUST00000138356|ENSMUST00000123406|ENSMUST00000129806|ENSMUST00000154723|ENSMUST00000134465|ENSMUST00000148344|ENSMUST00000123310|ENSMUST00000123123|ENSMUST00000133312|ENSMUST00000034611|ENSMUST00000135436|ENSMUST00000156918|ENSMUST00000147495|ENSMUST00000123003	NM_153537	PHLDB1		DOWN, ttest: 0.000395686142892114
191	Clec5a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029915	ENSMUST00000101491|ENSMUST00000031975|ENSMUST00000129948|ENSMUST00000177178	NM_021364|NM_001038604	CLEC5A		DOWN, ttest: 0.000397517741712423
192	Tlr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000044827	ENSMUST00000197315|ENSMUST00000197886|ENSMUST00000059349	NM_001276445|NM_030682	TLR1		DOWN, ttest: 0.0004006366226718261
193	Tgfb3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021253	ENSMUST00000003687	NM_009368	TGFB3		DOWN, ttest: 0.000414760533581347
194	LOC100046608	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000441711651520122
195	Shroom3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029381	ENSMUST00000168878|ENSMUST00000113051|ENSMUST00000172706|ENSMUST00000172849|ENSMUST00000172752|ENSMUST00000225438|ENSMUST00000113055|ENSMUST00000113054|ENSMUST00000202767|ENSMUST00000200869|ENSMUST00000201800	NM_015756|NM_001077595|NM_001077596	SHROOM3		DOWN, ttest: 0.000451599712653401
196	Irf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018899	ENSMUST00000108922|ENSMUST00000138913|ENSMUST00000142221|ENSMUST00000123376|ENSMUST00000108920|ENSMUST00000133291|ENSMUST00000153054|ENSMUST00000128336|ENSMUST00000019043|ENSMUST00000140866	NM_001159393|NM_008390|NM_001159396	IRF1		DOWN, ttest: 0.000459207298057286
197	Ak5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000039058	ENSMUST00000198552|ENSMUST00000045262|ENSMUST00000200062	NM_001409727|NM_001081277|NM_001409729	AK5		DOWN, ttest: 0.000475466741791714
