Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
198	Sox4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000076431	ENSMUST00000067230	NM_009238	SOX4		DOWN, ttest: 0.000476876184823824
199	Prrx2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000039476	ENSMUST00000137924|ENSMUST00000113592|ENSMUST00000150299|ENSMUST00000041659	NM_009116	PRRX2		DOWN, ttest: 0.000495041399012746
200	2600010E01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032841	ENSMUST00000141814|ENSMUST00000144549|ENSMUST00000125985|ENSMUST00000043845|ENSMUST00000163762|ENSMUST00000140387|ENSMUST00000171088|ENSMUST00000127358|ENSMUST00000154525|ENSMUST00000124802	NM_001355625|NM_001083810|NM_001110849|NM_175181	PRR5L		DOWN, ttest: 0.000499572970079035
201	St8sia4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040710	ENSMUST00000187936|ENSMUST00000189556|ENSMUST00000043336|ENSMUST00000186853	NM_009183|NM_001159745	ST8SIA4		DOWN, ttest: 0.000518295165772727
202	Cyp1b1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024087	ENSMUST00000024894|ENSMUST00000234927|ENSMUST00000234361	NM_001364889|NM_009994	CYP1B1		DOWN, ttest: 0.000527310411211611
203	Pik3cb	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032462	ENSMUST00000136965|ENSMUST00000124723|ENSMUST00000035037	NM_029094	PIK3CB		DOWN, ttest: 0.000551634975283508
204	Igf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020053	ENSMUST00000121952|ENSMUST00000122100|ENSMUST00000105300|ENSMUST00000062862|ENSMUST00000126490|ENSMUST00000121161|ENSMUST00000122386|ENSMUST00000095360	NM_010512|NM_001111276|NM_001111275|NM_001111274|NM_001314010	IGF1		DOWN, ttest: 0.000556978720293066
205	Il15	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031712	ENSMUST00000210094|ENSMUST00000210885|ENSMUST00000209363|ENSMUST00000034148|ENSMUST00000209573|ENSMUST00000211565|ENSMUST00000211722|ENSMUST00000211282|ENSMUST00000210472|ENSMUST00000209687	NM_008357|NM_001254747	IL15		DOWN, ttest: 0.0005614984886156381
206	Adcy8	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022376	ENSMUST00000228109|ENSMUST00000023007|ENSMUST00000228014	NM_009623|NM_001331075|NM_001291903	ADCY8		DOWN, ttest: 0.00059839597074708
207	Pde1b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022489	ENSMUST00000227925|ENSMUST00000226468|ENSMUST00000023132|ENSMUST00000227955|ENSMUST00000226493	NM_008800|NM_001357980|NM_001285890	PDE1B		DOWN, ttest: 0.0005984846699946541
208	Tnfaip8	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000062210	ENSMUST00000148159|ENSMUST00000180305|ENSMUST00000145726|ENSMUST00000155403|ENSMUST00000153873|ENSMUST00000134348|ENSMUST00000128377|ENSMUST00000087655|ENSMUST00000153545|ENSMUST00000148989|ENSMUST00000126666|ENSMUST00000179937|ENSMUST00000124175	NM_001360935|NM_001177760|NM_001177759|NM_134131	TNFAIP8		DOWN, ttest: 0.0006095351403445041
209	Rhobtb2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022075	ENSMUST00000022665|ENSMUST00000225088|ENSMUST00000224535|ENSMUST00000223603	NM_153514	RHOBTB2		DOWN, ttest: 0.000622027666857159
210	Dhx32	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030986	ENSMUST00000106139|ENSMUST00000135989|ENSMUST00000211450|ENSMUST00000140593|ENSMUST00000130182|ENSMUST00000136301|ENSMUST00000149876|ENSMUST00000033290|ENSMUST00000146211|ENSMUST00000063669	NM_133941|NM_001286032|NM_001286031|NM_001357685|NM_001286030	DHX32		DOWN, ttest: 0.0006380447248824301
211	Edg3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000067586	ENSMUST00000087978	NM_010101	S1PR3		DOWN, ttest: 0.0006395045750528881
212	Ednra	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031616	ENSMUST00000034029|ENSMUST00000146561	NM_010332	EDNRA		DOWN, ttest: 0.000649196277634799
213	Zfp41	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000047003	ENSMUST00000161555|ENSMUST00000161785|ENSMUST00000054555|ENSMUST00000161752	NM_001044718|NM_011759	ZFP41		DOWN, ttest: 0.000650796789626327
214	LOC100046802	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.000674254454942782
215	Ptpn6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000004266	ENSMUST00000173315|ENSMUST00000173647|ENSMUST00000004377|ENSMUST00000173228|ENSMUST00000174265|ENSMUST00000171549|ENSMUST00000172613|ENSMUST00000112484|ENSMUST00000172690|ENSMUST00000174787|ENSMUST00000172770	NM_013545|NM_001077705	PTPN6		DOWN, ttest: 0.0006861674152806701
216	Plek	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020120	ENSMUST00000102881|ENSMUST00000156101|ENSMUST00000020321	NM_019549	PLEK		DOWN, ttest: 0.0007116376821038811
217	Reck	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028476	ENSMUST00000030198|ENSMUST00000128463|ENSMUST00000130415	NM_016678	RECK		DOWN, ttest: 0.0007187292989867091
218	Clec7a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000079293	ENSMUST00000184861|ENSMUST00000195589|ENSMUST00000184581	NM_001309637	CLEC7A		DOWN, ttest: 0.00073485592459805
219	Icam1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037405	ENSMUST00000086399|ENSMUST00000215003	NM_010493	ICAM1		DOWN, ttest: 0.000811134799496514
220	BC004044	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.0008498995706011051
221	Mfsd7b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000066595	ENSMUST00000194917|ENSMUST00000194589|ENSMUST00000193399|ENSMUST00000191946|ENSMUST00000085635|ENSMUST00000192666	NM_001313747|NM_001081259|NM_198025	FLVCR1		DOWN, ttest: 0.000852759661435406
222	Rab3il1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024663	ENSMUST00000121418|ENSMUST00000238672|ENSMUST00000137637|ENSMUST00000144788|ENSMUST00000131407|ENSMUST00000117641|ENSMUST00000113161|ENSMUST00000129882|ENSMUST00000149967	NM_001347429|NM_001378861|NM_001378859|NM_001378858|NM_144538|NM_001378857|NM_001347430|NM_001378860	RAB3IL1		DOWN, ttest: 0.0008777714381687481
223	A730017D01Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000041540	ENSMUST00000111749|ENSMUST00000111748|ENSMUST00000077160|ENSMUST00000038815|ENSMUST00000124233|ENSMUST00000150087|ENSMUST00000129050|ENSMUST00000111746|ENSMUST00000144289|ENSMUST00000141102|ENSMUST00000149451|ENSMUST00000139478|ENSMUST00000142294|ENSMUST00000170367	NM_001243163|NM_001113559|NM_011444|NM_001347506	SOX5		DOWN, ttest: 0.000885277901351442
224	Pik3r3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028698	ENSMUST00000147292|ENSMUST00000030464|ENSMUST00000106490	NM_001355586|NM_181585|NM_001355584|NM_001355585	PIK3R3		DOWN, ttest: 0.0008858443918524031
225	4632417K18Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024691	ENSMUST00000139270|ENSMUST00000151307|ENSMUST00000025595|ENSMUST00000144662	NM_001346545|NM_026640	FAM111A		DOWN, ttest: 0.0008959602613040021
226	Ccnd2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000000184	ENSMUST00000201066|ENSMUST00000202363|ENSMUST00000201985|ENSMUST00000201857|ENSMUST00000201564|ENSMUST00000000188|ENSMUST00000201902|ENSMUST00000201637	NM_009829	CCND2		DOWN, ttest: 0.0008985902075199591
227	Nudt7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031767	ENSMUST00000066514|ENSMUST00000147605|ENSMUST00000073521|ENSMUST00000109109|ENSMUST00000134593	NM_001377027|NM_001290182|NM_024446|NM_024437|NM_001290181	NUDT7		DOWN, ttest: 0.000937982633731976
228	Fut10	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046152	ENSMUST00000110527|ENSMUST00000161502|ENSMUST00000161788|ENSMUST00000066173|ENSMUST00000162162	NM_134161|NM_001286424|NM_001286422|NM_001286425|NM_001012517	FUT10		DOWN, ttest: 0.0009458937239459861
229	Diras2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000047842	ENSMUST00000057442	NM_001024474	DIRAS2		DOWN, ttest: 0.0009488877041472191
230	Casp8	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026029	ENSMUST00000191201|ENSMUST00000190213|ENSMUST00000165549|ENSMUST00000027189	NM_001080126|NM_001277926|NM_009812	CASP8		DOWN, ttest: 0.0009895217710265381
231	Plaur	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046223	ENSMUST00000206935|ENSMUST00000206514|ENSMUST00000205877|ENSMUST00000206636|ENSMUST00000206693|ENSMUST00000002284	NM_011113	PLAUR		DOWN, ttest: 0.000989522043925541
232	Vamp5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000073002	ENSMUST00000101285|ENSMUST00000074231|ENSMUST00000206154	NM_001080742|NM_016872	VAMP5		DOWN, ttest: 0.00100866899961591
233	Spata3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026226	ENSMUST00000129169|ENSMUST00000113344|ENSMUST00000149469|ENSMUST00000131151|ENSMUST00000135440|ENSMUST00000152501|ENSMUST00000153247|ENSMUST00000052854|ENSMUST00000130504|ENSMUST00000159876|ENSMUST00000125083	NM_001122732|NM_001379365|NM_027029|NM_028647|NM_027300	SPATA3		DOWN, ttest: 0.00101299276919459
234	2310004N11Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000042608	ENSMUST00000134369|ENSMUST00000116286|ENSMUST00000094761|ENSMUST00000127092|ENSMUST00000139188|ENSMUST00000139524	NM_028800|NM_001145827	STK40		DOWN, ttest: 0.00101646970698347
235	A430084P05Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057135	ENSMUST00000108534|ENSMUST00000074572	NM_001045526	SCIMP		DOWN, ttest: 0.00102305245595302
236	Sox21	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000061517	ENSMUST00000170662	NM_177753	SOX21		DOWN, ttest: 0.00103932807480851
237	Rasl11b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049907	ENSMUST00000183995|ENSMUST00000201837|ENSMUST00000051937	NM_026878	RASL11B		DOWN, ttest: 0.00104559514315442
238	Il1a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027399	ENSMUST00000028882	NM_010554	IL1A		DOWN, ttest: 0.00109736439208001
239	Cdon	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038119	ENSMUST00000137200|ENSMUST00000127264|ENSMUST00000151682|ENSMUST00000042842|ENSMUST00000119129|ENSMUST00000154652	NM_001405248|NM_001405251|NM_021339|NM_001405247|NM_001405250|NM_001405249	CDON		DOWN, ttest: 0.00110324748104646
240	Rps6ka1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000003644	ENSMUST00000129636|ENSMUST00000003741|ENSMUST00000173961|ENSMUST00000168974|ENSMUST00000137486|ENSMUST00000174481|ENSMUST00000157067|ENSMUST00000173989|ENSMUST00000105894	NM_001378880|NM_001285506|NM_001285505|NM_009097	RPS6KA1		DOWN, ttest: 0.00111997968089295
241	Bdnf	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000048482	ENSMUST00000111051|ENSMUST00000111043|ENSMUST00000111046|ENSMUST00000176893|ENSMUST00000111042|ENSMUST00000111049|ENSMUST00000111047|ENSMUST00000053317|ENSMUST00000111045|ENSMUST00000111050|ENSMUST00000111044	NM_001285420|NM_001285418|NM_001285417|NM_001316310|NM_007540|NM_001285422|NM_001048141|NM_001285421|NM_001048142|NM_001048139|NM_001285416|NM_001285419	BDNF		DOWN, ttest: 0.0011280732522773
242	Traf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026875	ENSMUST00000201690|ENSMUST00000156479|ENSMUST00000129131|ENSMUST00000201335|ENSMUST00000113064|ENSMUST00000135870|ENSMUST00000028234|ENSMUST00000172159|ENSMUST00000141238	NM_001326601|NM_009421	TRAF1		DOWN, ttest: 0.00114849135290886
243	Traf3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021277	ENSMUST00000143395|ENSMUST00000139162|ENSMUST00000021706|ENSMUST00000117269|ENSMUST00000060274	NM_001286122|NM_001364364|NM_011632	TRAF3		DOWN, ttest: 0.00116403999530693
244	Avpr1a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020123	ENSMUST00000020323	NM_016847	AVPR1A		DOWN, ttest: 0.00125810625026024
245	Plscr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032369	ENSMUST00000093801|ENSMUST00000187952|ENSMUST00000186364	NM_001410453|NM_011636	PLSCR1		DOWN, ttest: 0.00127216554494604
246	Cysltr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000052821	ENSMUST00000064892|ENSMUST00000113480	NM_021476|NM_001281859	CYSLTR1		DOWN, ttest: 0.00129343619756406
247	6230400G14Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030020	ENSMUST00000113446|ENSMUST00000032093|ENSMUST00000113447|ENSMUST00000113445	NM_001081146|NM_001134460|NM_001134461|NM_001404086|NM_001134459	PRICKLE2		DOWN, ttest: 0.00132058751027531
248	Chst3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057337	ENSMUST00000068690|ENSMUST00000167915	NM_016803|NM_001407025	CHST3		DOWN, ttest: 0.00140711250693685
249	Lat2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040751	ENSMUST00000201632|ENSMUST00000200945|ENSMUST00000202746|ENSMUST00000202461|ENSMUST00000202085|ENSMUST00000077636|ENSMUST00000036362|ENSMUST00000201832|ENSMUST00000200998|ENSMUST00000200737	NM_020044|NM_022964	LAT2		DOWN, ttest: 0.00141500157739767
250	Fcgr2b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026656	ENSMUST00000159688|ENSMUST00000161730|ENSMUST00000160106|ENSMUST00000161503|ENSMUST00000081103|ENSMUST00000027966|ENSMUST00000159969	NM_001077189|NM_010187	FCGR2A		DOWN, ttest: 0.0014226800710966
251	Pilra	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046245	ENSMUST00000199028|ENSMUST00000058897|ENSMUST00000110980|ENSMUST00000130460|ENSMUST00000197586	NM_153510			DOWN, ttest: 0.00143783420129437
252	Chst1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027221	ENSMUST00000065797	NM_001356553|NM_023850|NM_001356552	CHST1		DOWN, ttest: 0.00144208412171444
253	Abcc12	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036872	ENSMUST00000129898|ENSMUST00000156066|ENSMUST00000152438|ENSMUST00000131423|ENSMUST00000131806|ENSMUST00000156610|ENSMUST00000080115	NM_172912	ABCC12		DOWN, ttest: 0.00147185895312301
254	D630003M21Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037813	ENSMUST00000103121|ENSMUST00000046944|ENSMUST00000169335	NM_177657|NM_001131021	KIAA1755		DOWN, ttest: 0.0015107620027902
255	Vcam1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027962	ENSMUST00000196449|ENSMUST00000029574|ENSMUST00000197031|ENSMUST00000196309	NM_011693	VCAM1		DOWN, ttest: 0.00151162447430605
256	Rnf144a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020642	ENSMUST00000222082|ENSMUST00000222505|ENSMUST00000223137|ENSMUST00000062149|ENSMUST00000221994|ENSMUST00000020971|ENSMUST00000220742	NM_001081977|NM_080563	RNF144A		DOWN, ttest: 0.00154796199879479
257	Paqr7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037348	ENSMUST00000081525|ENSMUST00000134506|ENSMUST00000136171|ENSMUST00000095074|ENSMUST00000155449|ENSMUST00000125330	NM_001285847|NM_027995|NM_001285849|NM_001285845|NM_001285846	PAQR7		DOWN, ttest: 0.00158091880272772
258	Vps37d	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000043614	ENSMUST00000076203|ENSMUST00000067935	NM_177574|NM_001199677	VPS37D		DOWN, ttest: 0.00158737738041896
259	Ptgds2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029919	ENSMUST00000170252|ENSMUST00000205250|ENSMUST00000031982	NM_019455	HPGDS		DOWN, ttest: 0.00159149906954581
260	Etv5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000013089	ENSMUST00000165506|ENSMUST00000168774|ENSMUST00000079601|ENSMUST00000170393|ENSMUST00000170803	NM_001358428|NM_023794	ETV5		DOWN, ttest: 0.00163538981721609
261	Cxcl16	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018920	ENSMUST00000154475|ENSMUST00000126391|ENSMUST00000019064	NM_023158	CXCL16		DOWN, ttest: 0.00165826379582057
262	A930008G19Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030956	ENSMUST00000097999|ENSMUST00000097998|ENSMUST00000106166|ENSMUST00000106168|ENSMUST00000148303|ENSMUST00000134946|ENSMUST00000140865|ENSMUST00000065371|ENSMUST00000106165|ENSMUST00000146460|ENSMUST00000106169	NM_175268|NM_001381858|NM_001347630|NM_001381859|NM_212473	FAM53B		DOWN, ttest: 0.00169467277553773
263	Ccr5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000079227	ENSMUST00000171579|ENSMUST00000171499|ENSMUST00000169553|ENSMUST00000168179|ENSMUST00000097855|ENSMUST00000111442	NM_009917	CCR2		DOWN, ttest: 0.00171082701166905
264	Lrrk1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015133	ENSMUST00000015277|ENSMUST00000130438|ENSMUST00000154893|ENSMUST00000145954|ENSMUST00000131239|ENSMUST00000167705|ENSMUST00000137181	NM_146191	LRRK1		DOWN, ttest: 0.00174122111739884
265	LOC100048461	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00177193550820424
266	Dpysl4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025478	ENSMUST00000121184|ENSMUST00000145499|ENSMUST00000139364|ENSMUST00000154273|ENSMUST00000026551|ENSMUST00000122844	NM_011993	DPYSL4		DOWN, ttest: 0.00180347248489879
267	Gpr160	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037661	ENSMUST00000194979|ENSMUST00000130294|ENSMUST00000147697|ENSMUST00000046748|ENSMUST00000108259|ENSMUST00000108258|ENSMUST00000108261|ENSMUST00000166278	NM_001286994|NM_001286996|NM_001134385|NM_027965|NM_001357144|NM_001286995|NM_001134386	GPR160		DOWN, ttest: 0.00182392810179244
268	Atg5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038160	ENSMUST00000039286|ENSMUST00000217412	NM_053069|NM_001314013|NM_001358596	ATG5		DOWN, ttest: 0.00187513388117213
269	1700013E18Rik	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00191206450702973
270	Tnfaip2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021281	ENSMUST00000127028|ENSMUST00000156003|ENSMUST00000172783|ENSMUST00000102745|ENSMUST00000109792|ENSMUST00000174692|ENSMUST00000174298|ENSMUST00000129467|ENSMUST00000133865|ENSMUST00000127207|ENSMUST00000173581	NM_009396	TNFAIP2		DOWN, ttest: 0.00191871311725421
271	Ets1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032035	ENSMUST00000184110|ENSMUST00000238819|ENSMUST00000050797|ENSMUST00000184364|ENSMUST00000034534|ENSMUST00000184887|ENSMUST00000183879	NM_001372536|NM_011808|NM_001372537|NM_001038642|NM_001372535|NM_001372534	ETS1		DOWN, ttest: 0.00193744075613433
272	Crygs	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000033501	ENSMUST00000040592	NM_009967	CRYGS		DOWN, ttest: 0.00194645569252293
273	LOC100045359	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00203654618380228
274	Gins2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031821	ENSMUST00000034278|ENSMUST00000146526|ENSMUST00000126094|ENSMUST00000155609	NM_178856	GINS2		DOWN, ttest: 0.0020365516068798
275	Twf2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000023277	ENSMUST00000217523|ENSMUST00000187944|ENSMUST00000024047|ENSMUST00000216850|ENSMUST00000189708|ENSMUST00000216348|ENSMUST00000188650|ENSMUST00000187647|ENSMUST00000216541	NM_011876	TWF2		DOWN, ttest: 0.00204324822529487
276	Itpkb	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038855	ENSMUST00000070181|ENSMUST00000195043	NM_001081175	ITPKB		DOWN, ttest: 0.00204757777912253
277	Gm444	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00207201715762249
278	Pde4b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028525	ENSMUST00000106908|ENSMUST00000106904|ENSMUST00000133632|ENSMUST00000172845|ENSMUST00000174186|ENSMUST00000106907|ENSMUST00000106901|ENSMUST00000172616|ENSMUST00000097949|ENSMUST00000030251|ENSMUST00000097950|ENSMUST00000106911|ENSMUST00000173119	NM_001177982|NM_019840|NM_001177980|NM_001374780|NM_001177983|NM_001177981	PDE4B		DOWN, ttest: 0.00207378582554542
279	Lcp1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021998	ENSMUST00000124608|ENSMUST00000124499|ENSMUST00000130510|ENSMUST00000122840|ENSMUST00000143539|ENSMUST00000125833|ENSMUST00000148609|ENSMUST00000134114|ENSMUST00000131802|ENSMUST00000145303|ENSMUST00000149883	NM_001247984|NM_008879	LCP1		DOWN, ttest: 0.00224195182095405
280	Rab11fip4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000017639	ENSMUST00000155381|ENSMUST00000017783	NM_175543	RAB11FIP4		DOWN, ttest: 0.0022721639512265
281	Pgpep1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000056204	ENSMUST00000211715|ENSMUST00000211526|ENSMUST00000070173|ENSMUST00000210193|ENSMUST00000209768|ENSMUST00000210459|ENSMUST00000210307|ENSMUST00000210786	NM_023217	PGPEP1		DOWN, ttest: 0.00228957932330522
282	Cxxc4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000044365	ENSMUST00000197151|ENSMUST00000181597|ENSMUST00000199134|ENSMUST00000166288|ENSMUST00000181904	NM_001004367	CXXC4		DOWN, ttest: 0.00229001208841973
283	Syde1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032714	ENSMUST00000040580	NM_027875	SYDE1		DOWN, ttest: 0.0022905374698984
284	Vangl2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026556	ENSMUST00000153662|ENSMUST00000111264|ENSMUST00000148363|ENSMUST00000027837|ENSMUST00000247845|ENSMUST00000111263|ENSMUST00000138714	NM_033509	VANGL2		DOWN, ttest: 0.00233955475401183
285	Synj2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000023805	ENSMUST00000232567|ENSMUST00000126881|ENSMUST00000115787|ENSMUST00000130661|ENSMUST00000115788|ENSMUST00000154114|ENSMUST00000080283|ENSMUST00000134767|ENSMUST00000142409|ENSMUST00000115789|ENSMUST00000061091|ENSMUST00000115786|ENSMUST00000115785|ENSMUST00000115790|ENSMUST00000115784|ENSMUST00000115791	NM_001113353|NM_001357667|NM_001113351|NM_001357665|NM_011523|NM_001290698|NM_001113352	SYNJ2		DOWN, ttest: 0.00234664176332338
