Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
286	Apbb1ip	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026786	ENSMUST00000132993|ENSMUST00000148315|ENSMUST00000131195|ENSMUST00000014290	NM_019456	APBB1IP		DOWN, ttest: 0.0023855059178764
287	Rab3il1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024663	ENSMUST00000121418|ENSMUST00000238672|ENSMUST00000137637|ENSMUST00000144788|ENSMUST00000131407|ENSMUST00000117641|ENSMUST00000113161|ENSMUST00000129882|ENSMUST00000149967	NM_001347429|NM_001378861|NM_001378859|NM_001378858|NM_144538|NM_001378857|NM_001347430|NM_001378860	RAB3IL1		DOWN, ttest: 0.0024299985384614
288	Cxcr4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045382	ENSMUST00000142893|ENSMUST00000052172	NM_001356509|NM_009911	CXCR4		DOWN, ttest: 0.00243101536919199
289	Ap3m2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031539	ENSMUST00000210148|ENSMUST00000210476|ENSMUST00000210656|ENSMUST00000163739	NM_001122820|NM_029505	AP3M2		DOWN, ttest: 0.00246011063560604
290	Fzd10	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000081683	ENSMUST00000117102	NM_175284	FZD10		DOWN, ttest: 0.00258248286299968
291	Dnajc12	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036764	ENSMUST00000129625|ENSMUST00000136832|ENSMUST00000043317	NM_013888|NM_001253685	DNAJC12		DOWN, ttest: 0.00266322360027306
292	Irf1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018899	ENSMUST00000108922|ENSMUST00000138913|ENSMUST00000142221|ENSMUST00000123376|ENSMUST00000108920|ENSMUST00000133291|ENSMUST00000153054|ENSMUST00000128336|ENSMUST00000019043|ENSMUST00000140866	NM_001159393|NM_008390|NM_001159396	IRF1		DOWN, ttest: 0.0026974161827741
293	Specc1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000042331	ENSMUST00000200742|ENSMUST00000201015|ENSMUST00000201723|ENSMUST00000202179|ENSMUST00000108709|ENSMUST00000202389|ENSMUST00000201866|ENSMUST00000136971|ENSMUST00000202744|ENSMUST00000092415|ENSMUST00000202869|ENSMUST00000202178|ENSMUST00000201624|ENSMUST00000049836|ENSMUST00000202905|ENSMUST00000201671|ENSMUST00000201364	NM_001281818|NM_001029936|NM_001310526	SPECC1		DOWN, ttest: 0.00275105030146091
294	Gpr23	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049929	ENSMUST00000060576	NM_175271	LPAR4		DOWN, ttest: 0.00275621014976932
295	Trim21	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030966	ENSMUST00000210261|ENSMUST00000209679|ENSMUST00000209907|ENSMUST00000106913|ENSMUST00000033264	NM_001082552|NM_009277	TRIM21		DOWN, ttest: 0.00276145243917453
296	Cxxc4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000044365	ENSMUST00000197151|ENSMUST00000181597|ENSMUST00000199134|ENSMUST00000166288|ENSMUST00000181904	NM_001004367	CXXC4		DOWN, ttest: 0.00279836375006113
297	Sall1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031665	ENSMUST00000034090	NM_001371069|NM_021390|NM_001371070	SALL1		DOWN, ttest: 0.00279994460158676
298	Bbs10	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000035759	ENSMUST00000040454|ENSMUST00000219990	NM_027914	BBS10		DOWN, ttest: 0.0028562834423629
299	Traf3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021277	ENSMUST00000143395|ENSMUST00000139162|ENSMUST00000021706|ENSMUST00000117269|ENSMUST00000060274	NM_001286122|NM_001364364|NM_011632	TRAF3		DOWN, ttest: 0.00288199246937698
300	Impa2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024525	ENSMUST00000025403|ENSMUST00000235632|ENSMUST00000237149|ENSMUST00000236637	NM_053261	IMPA2		DOWN, ttest: 0.00297009291501389
301	Slc37a1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024036	ENSMUST00000236710|ENSMUST00000171233|ENSMUST00000235972|ENSMUST00000237932|ENSMUST00000237835|ENSMUST00000235220|ENSMUST00000236467|ENSMUST00000236251|ENSMUST00000235261|ENSMUST00000237425|ENSMUST00000235564|ENSMUST00000237980|ENSMUST00000236147|ENSMUST00000237389|ENSMUST00000237460|ENSMUST00000235230|ENSMUST00000237928|ENSMUST00000165149	NM_001242427|NM_153062	SLC37A1		DOWN, ttest: 0.00298864264507566
302	Rap2a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000051615	ENSMUST00000062117	NM_029519	RAP2A		DOWN, ttest: 0.00314702454414369
303	Gbp2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028270	ENSMUST00000169572|ENSMUST00000165774	NM_010260	GBP2		DOWN, ttest: 0.00324795199650973
304	AA881470	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00326135044144934
305	Ptgds2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029919	ENSMUST00000170252|ENSMUST00000205250|ENSMUST00000031982	NM_019455	HPGDS		DOWN, ttest: 0.00329283449200563
306	Wscd1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020811	ENSMUST00000108511|ENSMUST00000108510|ENSMUST00000021168|ENSMUST00000150531|ENSMUST00000132095|ENSMUST00000138339	NM_001357960|NM_001357965|NM_177618	WSCD1		DOWN, ttest: 0.0033024804048338
307	Egr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038418	ENSMUST00000165033|ENSMUST00000064795	NM_007913	EGR1		DOWN, ttest: 0.00342094258854716
308	Epb4.1l4b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028434	ENSMUST00000095076|ENSMUST00000133859|ENSMUST00000136337|ENSMUST00000030142|ENSMUST00000149109|ENSMUST00000150665|ENSMUST00000044022	NM_019427|NM_001355492	EPB41L4B		DOWN, ttest: 0.00342866547481422
309	Mef2c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000005583	ENSMUST00000197938|ENSMUST00000197022|ENSMUST00000198360|ENSMUST00000163888|ENSMUST00000199432|ENSMUST00000199019|ENSMUST00000198064|ENSMUST00000197146|ENSMUST00000195904|ENSMUST00000196730|ENSMUST00000197722|ENSMUST00000198916|ENSMUST00000198199|ENSMUST00000200123|ENSMUST00000199450|ENSMUST00000198217|ENSMUST00000199105|ENSMUST00000197681|ENSMUST00000005722|ENSMUST00000195984|ENSMUST00000198069|ENSMUST00000197145|ENSMUST00000196832|ENSMUST00000185052|ENSMUST00000199262|ENSMUST00000200138|ENSMUST00000199210|ENSMUST00000196493|ENSMUST00000200394|ENSMUST00000199167|ENSMUST00000196207	NM_001347564|NM_001347574|NM_001347573|NM_001347579|NM_001347580|NM_001347567|NM_025282|NM_001347578|NM_001347569|NM_001170537|NM_001347576|NM_001347566|NM_001347575|NM_001347572|NM_001347577|NM_001347568|NM_001347571|NM_001347581	MEF2C		DOWN, ttest: 0.00355087298943244
310	Itpripl2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000095115	ENSMUST00000178344	NM_001033380	ITPRIPL2		DOWN, ttest: 0.0035766028694222
311	Pou2f2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000008496	ENSMUST00000108413|ENSMUST00000108415|ENSMUST00000108417|ENSMUST00000175774|ENSMUST00000147146|ENSMUST00000098679|ENSMUST00000108416|ENSMUST00000175754|ENSMUST00000108418|ENSMUST00000176408	NM_001163554|NM_011138|NM_001163556|NM_001163555	POU2F2		DOWN, ttest: 0.00362980095689793
312	Srxn1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032802	ENSMUST00000128882|ENSMUST00000041500|ENSMUST00000137751	NM_029688	SRXN1		DOWN, ttest: 0.00386171593662327
313	Fadd	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031077	ENSMUST00000033394	NM_010175	FADD		DOWN, ttest: 0.0038672832072266
314	Ubac2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000041765	ENSMUST00000226998|ENSMUST00000039803|ENSMUST00000227936|ENSMUST00000227684	NM_026861	UBAC2		DOWN, ttest: 0.00414678997055849
315	Fgfr2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030849	ENSMUST00000117858|ENSMUST00000129103|ENSMUST00000129542|ENSMUST00000130557|ENSMUST00000208844|ENSMUST00000119260|ENSMUST00000118296|ENSMUST00000117357|ENSMUST00000117872|ENSMUST00000120141|ENSMUST00000117691|ENSMUST00000120715|ENSMUST00000120187|ENSMUST00000117089|ENSMUST00000133806|ENSMUST00000117073|ENSMUST00000121064|ENSMUST00000122448|ENSMUST00000147859|ENSMUST00000153166|ENSMUST00000136264|ENSMUST00000117754|ENSMUST00000121080|ENSMUST00000124096|ENSMUST00000122054|ENSMUST00000127091|ENSMUST00000148675	NM_010207|NM_001347638|NM_201601	FGFR2		DOWN, ttest: 0.00480427777243019
316	Pde1b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022489	ENSMUST00000227925|ENSMUST00000226468|ENSMUST00000023132|ENSMUST00000227955|ENSMUST00000226493	NM_008800|NM_001357980|NM_001285890	PDE1B		DOWN, ttest: 0.00496715346268153
317	Tnfaip2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021281	ENSMUST00000127028|ENSMUST00000156003|ENSMUST00000172783|ENSMUST00000102745|ENSMUST00000109792|ENSMUST00000174692|ENSMUST00000174298|ENSMUST00000129467|ENSMUST00000133865|ENSMUST00000127207|ENSMUST00000173581	NM_009396	TNFAIP2		DOWN, ttest: 0.00498753820281435
318	2310045L10Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020541	ENSMUST00000127034|ENSMUST00000107868|ENSMUST00000147329|ENSMUST00000107869|ENSMUST00000020849|ENSMUST00000107867|ENSMUST00000154599|ENSMUST00000131055	NM_001357543|NM_001357544|NM_028011|NM_001357547	TOM1L1		DOWN, ttest: 0.00512401062535157
319	Tgfb1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000002603	ENSMUST00000002678|ENSMUST00000171757|ENSMUST00000206348|ENSMUST00000206584|ENSMUST00000169009	NM_011577	TGFB1		DOWN, ttest: 0.005510068594414431
320	Irg1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022126	ENSMUST00000022722	NM_008392	ACOD1		DOWN, ttest: 0.005794799165745121
321	Upp1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020407	ENSMUST00000170444|ENSMUST00000130522|ENSMUST00000101525|ENSMUST00000166455|ENSMUST00000164791|ENSMUST00000020677|ENSMUST00000146696|ENSMUST00000168121|ENSMUST00000172452	NM_009477|NM_001159402|NM_001159401	UPP1		DOWN, ttest: 0.005977984796391321
322	Bcl2a1c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000053820	ENSMUST00000066460	NM_007535	BCL2A1		DOWN, ttest: 0.006058892970171099
323	5033414K04Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045658	ENSMUST00000187992|ENSMUST00000168574|ENSMUST00000176720|ENSMUST00000175948|ENSMUST00000177458|ENSMUST00000175996|ENSMUST00000176822|ENSMUST00000176559	NM_001003948	PID1		DOWN, ttest: 0.00630670445535367
324	Chst3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057337	ENSMUST00000068690|ENSMUST00000167915	NM_016803|NM_001407025	CHST3		DOWN, ttest: 0.006472130999297381
325	Cbx8	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025578	ENSMUST00000143831|ENSMUST00000026663|ENSMUST00000128019	NM_013926	CBX8		DOWN, ttest: 0.006532791807600771
326	scl0002255.1_1	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 0.00670938567589487
327	Cdca7	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000055612	ENSMUST00000157019|ENSMUST00000137880|ENSMUST00000102691|ENSMUST00000127344|ENSMUST00000130730	NM_025866	CDCA7		DOWN, ttest: 0.006715401850672271
328	Gbp6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000104713	ENSMUST00000200045|ENSMUST00000196520|ENSMUST00000199944	NM_194336	GBP6		DOWN, ttest: 0.00676066170373712
329	Spon2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037379	ENSMUST00000046186|ENSMUST00000201199|ENSMUST00000200884|ENSMUST00000201475|ENSMUST00000201175	NM_133903	SPON2		DOWN, ttest: 0.00710817846804802
330	Irg1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022126	ENSMUST00000022722	NM_008392	ACOD1		DOWN, ttest: 0.007215753027529911
331	5430435G22Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000052688	ENSMUST00000136247|ENSMUST00000064679|ENSMUST00000129905|ENSMUST00000130848|ENSMUST00000064664	NM_001311096|NM_145509	RAB7B		DOWN, ttest: 0.00729630947482937
332	Klhdc8b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032609	ENSMUST00000192196|ENSMUST00000193895|ENSMUST00000193286|ENSMUST00000194559|ENSMUST00000194633|ENSMUST00000035232|ENSMUST00000193911|ENSMUST00000192160|ENSMUST00000193331|ENSMUST00000192245|ENSMUST00000195869|ENSMUST00000193618|ENSMUST00000193159|ENSMUST00000192210|ENSMUST00000195435	NM_030075|NM_001359428	KLHDC8B		DOWN, ttest: 0.007558989731597461
333	Cbr3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022947	ENSMUST00000039620|ENSMUST00000231302	NM_173047	CBR3		DOWN, ttest: 0.007592001294844831
334	Naprt1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022574	ENSMUST00000230259|ENSMUST00000230739|ENSMUST00000023237|ENSMUST00000229571	NM_172607	NAPRT		DOWN, ttest: 0.00780505708314989
335	Tnfaip2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021281	ENSMUST00000127028|ENSMUST00000156003|ENSMUST00000172783|ENSMUST00000102745|ENSMUST00000109792|ENSMUST00000174692|ENSMUST00000174298|ENSMUST00000129467|ENSMUST00000133865|ENSMUST00000127207|ENSMUST00000173581	NM_009396	TNFAIP2		DOWN, ttest: 0.00825333823788771
336	Slc40a1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025993	ENSMUST00000188252|ENSMUST00000186822|ENSMUST00000186804|ENSMUST00000191247|ENSMUST00000187420|ENSMUST00000027137|ENSMUST00000187406|ENSMUST00000186755	NM_016917	SLC40A1		DOWN, ttest: 0.00844563206297403
337	Inppl1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032737	ENSMUST00000035836|ENSMUST00000210116|ENSMUST00000186316|ENSMUST00000209481|ENSMUST00000185929|ENSMUST00000209861|ENSMUST00000211436|ENSMUST00000211514|ENSMUST00000165052	NM_001122739|NM_010567	INPPL1		DOWN, ttest: 0.00931169329871249
338	Olfml1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000051041	ENSMUST00000120990|ENSMUST00000239087	NM_172907	OLFML1		DOWN, ttest: 0.009478002506880981
339	Ddit3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025408|ENSMUSG00000116429	ENSMUST00000139091|ENSMUST00000026475|ENSMUST00000134686|ENSMUST00000230446	NM_001290183|NM_007837	DDIT3		DOWN, ttest: 0.00979412232314969
340	Hpgd	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031613	ENSMUST00000034026	NM_008278	HPGD		DOWN, ttest: 0.009803024243753311
341	Srxn1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032802	ENSMUST00000128882|ENSMUST00000041500|ENSMUST00000137751	NM_029688	SRXN1		DOWN, ttest: 0.00998645862138549
342	Gas2l3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000074802	ENSMUST00000218764|ENSMUST00000099374|ENSMUST00000219351|ENSMUST00000220071|ENSMUST00000105298|ENSMUST00000219073|ENSMUST00000220128|ENSMUST00000220234	NM_001284344|NM_001079876|NM_001033331	GAS2L3		DOWN, ttest: 0.0104200946192898
343	Ankrd6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040183	ENSMUST00000084748|ENSMUST00000035719|ENSMUST00000084750|ENSMUST00000140837|ENSMUST00000149650|ENSMUST00000084749|ENSMUST00000128496|ENSMUST00000108166	NM_080471|NM_001012451|NM_001355587|NM_001012450	ANKRD6		DOWN, ttest: 0.0106395558861408
344	Nrp1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025810	ENSMUST00000212746|ENSMUST00000212933|ENSMUST00000212833|ENSMUST00000026917	NM_001358959|NM_001358960|NM_008737	NRP1		DOWN, ttest: 0.0124658167633584
345	Cyth4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018008	ENSMUST00000230705|ENSMUST00000229295|ENSMUST00000229248|ENSMUST00000230041|ENSMUST00000043069|ENSMUST00000230583|ENSMUST00000231180|ENSMUST00000229717|ENSMUST00000229233|ENSMUST00000229256|ENSMUST00000231176|ENSMUST00000229796|ENSMUST00000231168	NM_028195	CYTH4		DOWN, ttest: 0.013084557407528
346	D630003M21Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037813	ENSMUST00000103121|ENSMUST00000046944|ENSMUST00000169335	NM_177657|NM_001131021	KIAA1755		DOWN, ttest: 0.0131153435326467
347	Upp1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020407	ENSMUST00000170444|ENSMUST00000130522|ENSMUST00000101525|ENSMUST00000166455|ENSMUST00000164791|ENSMUST00000020677|ENSMUST00000146696|ENSMUST00000168121|ENSMUST00000172452	NM_009477|NM_001159402|NM_001159401	UPP1		DOWN, ttest: 0.0135450256473023
348	Tnfrsf19	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000060548	ENSMUST00000224371|ENSMUST00000225730|ENSMUST00000111234|ENSMUST00000225501|ENSMUST00000111236	NM_013869|NM_001164155	TNFRSF19		DOWN, ttest: 0.013608541292364
349	Apcdd1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000071847	ENSMUST00000163716|ENSMUST00000236605|ENSMUST00000236135|ENSMUST00000096554|ENSMUST00000237428	NM_133237	APCDD1		DOWN, ttest: 0.0153947332088728
350	Tst	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000044986	ENSMUST00000058659|ENSMUST00000231525	NM_009437	TST		DOWN, ttest: 0.0154599757346864
351	Acn9	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000042505	ENSMUST00000123848|ENSMUST00000040826	NM_001077713	SDHAF3		DOWN, ttest: 0.0155938340071815
352	Tmem53	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000048772	ENSMUST00000062824|ENSMUST00000106434|ENSMUST00000145836|ENSMUST00000125943|ENSMUST00000154449|ENSMUST00000106433	NM_029589|NM_001285816|NM_001285815|NM_026837|NM_001285814|NM_001285812	TMEM53		DOWN, ttest: 0.015615511925231
353	Blnk	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000061132	ENSMUST00000054769|ENSMUST00000117695|ENSMUST00000134568	NM_001365054|NM_008528	BLNK		DOWN, ttest: 0.0156326574011454
354	Naprt1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000022574	ENSMUST00000230259|ENSMUST00000230739|ENSMUST00000023237|ENSMUST00000229571	NM_172607	NAPRT		DOWN, ttest: 0.0158405984323523
355	Ppp1r3b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046794	ENSMUST00000211472|ENSMUST00000210337|ENSMUST00000211648|ENSMUST00000070481	NM_177741|NM_001364452|NM_001364450|NM_001364451	PPP1R3B		DOWN, ttest: 0.0161496887171477
356	Slc24a6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032754	ENSMUST00000111890|ENSMUST00000140329|ENSMUST00000123326|ENSMUST00000076051|ENSMUST00000068326|ENSMUST00000147496|ENSMUST00000111889	NM_133221|NM_001177594|NM_001177595	SLC8B1		DOWN, ttest: 0.0166400318864208
357	Nrarp	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000078202	ENSMUST00000104999	NM_025980	NRARP		DOWN, ttest: 0.0167040048982929
358	Tnfrsf13b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000010142	ENSMUST00000130708|ENSMUST00000146033|ENSMUST00000123378|ENSMUST00000137832|ENSMUST00000010286|ENSMUST00000101103|ENSMUST00000139422	NM_021349	TNFRSF13B		DOWN, ttest: 0.0191916022096059
359	Fcgr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015947	ENSMUST00000200420|ENSMUST00000029748	NM_010186	FCGR1A		DOWN, ttest: 0.0207617494766965
360	Gp38	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028583	ENSMUST00000119654|ENSMUST00000030317	NM_010329|NM_001290822	PDPN		DOWN, ttest: 0.0213766564856811
361	Mfsd7c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000034258	ENSMUST00000040461|ENSMUST00000221585	NM_145447	FLVCR2		DOWN, ttest: 0.0250780406770127
362	Rasa3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000031453	ENSMUST00000127418|ENSMUST00000137822|ENSMUST00000132637|ENSMUST00000132439|ENSMUST00000154454|ENSMUST00000117551	NM_009025	RASA3		DOWN, ttest: 0.0276246181274303
363	Fam13c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000043259	ENSMUST00000105436|ENSMUST00000219514|ENSMUST00000173042|ENSMUST00000218542|ENSMUST00000220159|ENSMUST00000062883|ENSMUST00000220442	NM_001143777|NM_001143776|NM_024244|NM_001359551	FAM13C		DOWN, ttest: 0.03710813033377
364	Spata3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026226	ENSMUST00000129169|ENSMUST00000113344|ENSMUST00000149469|ENSMUST00000131151|ENSMUST00000135440|ENSMUST00000152501|ENSMUST00000153247|ENSMUST00000052854|ENSMUST00000130504|ENSMUST00000159876|ENSMUST00000125083	NM_001122732|NM_001379365|NM_027029|NM_028647|NM_027300	SPATA3		DOWN, ttest: 0.0372656497688073
365	Rgs1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026358	ENSMUST00000169409|ENSMUST00000189061|ENSMUST00000185714|ENSMUST00000167317|ENSMUST00000169042|ENSMUST00000172388|ENSMUST00000167812|ENSMUST00000170870|ENSMUST00000189916	NM_015811	RGS1		DOWN, ttest: 0.0426951002563142
366	4933421H10Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000032232	ENSMUST00000122065|ENSMUST00000152224|ENSMUST00000072899|ENSMUST00000146567|ENSMUST00000136044|ENSMUST00000121322	NM_001304362|NM_026599|NM_001407857	CGNL1		DOWN, ttest: 0.0511989143495276
367	2310005P05Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036611	ENSMUST00000156237|ENSMUST00000040677	NM_026189	EEPD1		DOWN, ttest: 0.0586601027387258
368	Hook1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000028572	ENSMUST00000125584|ENSMUST00000107083|ENSMUST00000148291|ENSMUST00000146947|ENSMUST00000124202|ENSMUST00000125627|ENSMUST00000141448|ENSMUST00000143326|ENSMUST00000156910|ENSMUST00000030306|ENSMUST00000140128	NM_030014	HOOK1		DOWN, ttest: 0.0650102663673907
369	Hvcn1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000064267	ENSMUST00000196187|ENSMUST00000100747|ENSMUST00000145854|ENSMUST00000143560|ENSMUST00000072602	NM_028752|NM_001042489|NM_001359454	HVCN1		DOWN, ttest: 0.0652275443990019
370	Cd28	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026012	ENSMUST00000153207|ENSMUST00000132833|ENSMUST00000027165	NM_007642	CD28		DOWN, ttest: 0.07313040105189089
371	Slc38a3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000010064	ENSMUST00000195843|ENSMUST00000195739|ENSMUST00000010208|ENSMUST00000191923|ENSMUST00000193495|ENSMUST00000194230|ENSMUST00000192990|ENSMUST00000177567|ENSMUST00000194895|ENSMUST00000192211|ENSMUST00000193932|ENSMUST00000192323|ENSMUST00000195033|ENSMUST00000167868	NM_023805|NM_001199217|NM_001199218	SLC38A3		DOWN, ttest: 0.0808906371354023
